Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JUL-2026|ALKA|EQUITY|507665055|1715|0|14391800|0|77500|49549405|0|21200|0|0|64039905|0|0|0|132100|2580223|0|100|0|0|2712423
31-JUL-2026|ALMI|EQUITY|3816000000|74|0|97045340|0|0|47006400|0|303000|0|0|144354740|0|0|0|32818700|725800|0|1604500|0|0|35149000
31-JUL-2026|ALTO|EQUITY|2191870558|18|0|1371844916|0|0|577065024|0|229039618|0|0|2177949558|0|0|0|7560100|11000|0|6098400|0|0|13669500
31-JUL-2026|AMAG|EQUITY|5001552516|390|55806100|191757021|210019533|388000000|34612596|0|23887500|0|0|904082750|0|5413700|0|2735800|7760400|2066800|78183900|0|0|96160600
31-JUL-2026|AMAN|EQUITY|3873500000|250|0|100|0|0|583116300|0|0|0|0|583116400|0|0|0|1882300|1000|0|300|0|0|1883600
31-JUL-2026|AMAR|EQUITY|18381094760|220|0|1276091560|0|367421455|426228674|0|511|176|0|2069742376|0|14871331344|0|1205547004|395803|19095238|30350720|0|821275|16127541384
31-JUL-2026|AMFG|EQUITY|434000000|3310|23500|13622082|0|0|35071880|28600|35096|0|0|48781158|110700|20496500|162700|2580900|383200|145300|12584600|76900|217542|36758342
31-JUL-2026|AMIN|EQUITY|1080000000|244|0|0|0|0|81620200|0|0|0|0|81620200|0|17438300|0|2855400|235164500|0|12121600|0|0|267579800
31-JUL-2026|AMMN|EQUITY|72518217656|4100|492952067|58674813951|64572400|0|1710951735|441322531|1305620689|10829700|650900|62701713973|26310114|6278619639|106265259|899912088|12889800|1942324043|249163696|0|301019044|9816503683
31-JUL-2026|AMMS|EQUITY|1235296802|260|0|361715531|0|0|242189985|0|119|38|0|603905673|0|630001529|0|160200|359400|0|870000|0|0|631391129
31-JUL-2026|AMOR|EQUITY|2222222400|346|6926800|352407900|0|0|480584500|0|30980200|0|0|870899400|10730454|0|0|866800|2517700|1088100|1280100|0|719846|17203000
31-JUL-2026|AMRT|EQUITY|41524501700|1325|730183500|23300427134|72420000|0|4028440790|567011716|2912141|12134700|0|28713529981|55639836|4145110210|1322024118|1040360577|3183900|5290280170|293913487|11839000|648620421|12810971719
31-JUL-2026|ANDI|EQUITY|9350000000|17|20585655|817751613|563700|0|2573818923|1017794267|266762104|110879|26|4697387167|0|0|0|5100|2555933|0|21800|0|0|2582833
31-JUL-2026|ANJT|EQUITY|3354175000|1480|0|83047105|0|0|53284781|100|0|0|0|136331986|0|3217218477|0|68600|247937|0|308000|0|0|3217843014
31-JUL-2026|ANTM|EQUITY|24030764725|2880|875766415|109456401|138374863|3500012|2210443598|827381207|16784934|27379099|1088667|4210175196|80552940|119837096|1047533020|548682151|6879098|1937211664|82874882|63396100|276358720|4163325671
31-JUL-2026|APEX|EQUITY|3546466661|150|0|1288248754|0|0|962621413|0|62958039|0|0|2313828206|0|222167550|0|73870530|75467|0|771826187|0|22|1067939756
31-JUL-2026|APIC|EQUITY|11766313488|660|86796000|7361888038|11328700|0|1104015084|599584775|640310725|15000000|0|9818923322|0|984330885|15759700|429021682|250|65517000|5339448|0|447421201|1947390166
31-JUL-2026|APII|EQUITY|1075760000|185|0|2014600|0|0|55607100|0|0|0|0|57621700|0|0|0|2320900|36757300|0|34953100|0|142971000|217002300
31-JUL-2026|APLI|EQUITY|1362671400|248|0|216741400|0|0|544806100|0|165000|0|0|761712500|0|0|0|221900|185000|0|451000|0|0|857900
31-JUL-2026|APLN|EQUITY|22699326779|124|5283600|19067245698|1150000|0|3145176116|1469800|62621655|700100|390000|22284036969|0|313982|12468698|320510793|5312900|39608002|6602300|0|30473135|415289810
31-JUL-2026|APOL|EQUITY|16452282461|0|0|647104480|1400000|0|775217451|0|93379020|14088335|575800|1531765086|0|2653784186|0|1180647657|8159700|13668011|1410754020|0|71000000|5338013574
31-JUL-2026|ARCI|EQUITY|25235000000|1075|690125800|21256044777|116666200|0|1210522423|365383566|608864802|10037300|701000|24258345868|12778700|89331000|8000000|119513462|13599100|242619800|28006360|0|462805710|976654132
31-JUL-2026|AREA|EQUITY|2539601000|282|0|383258200|0|0|120017500|0|100|0|0|503275800|0|0|0|413700|6299700|0|10800|0|0|6724200
31-JUL-2026|ARGO|EQUITY|3174339029|1170|45000|659694014|0|0|3023450|0|70100|0|0|662832564|0|280|0|5316300|12150|0|5720|0|0|5334450
31-JUL-2026|ARII|EQUITY|3750000000|274|117981800|1859065300|0|0|528574600|139339800|0|35300|0|2644996800|0|335602100|0|214637700|2149300|5488200|23500|0|59741400|617642200
31-JUL-2026|ARKA|EQUITY|2000000000|22|0|1092824500|0|0|904720700|0|0|0|0|1997545200|0|0|0|100|36000|0|1168700|0|0|1204800
31-JUL-2026|ARKO|EQUITY|2928495000|4900|0|2585366718|0|0|291926450|323900|676000|0|0|2878293068|0|31473632|0|17945000|452100|0|331200|0|0|50201932
31-JUL-2026|ARMY|EQUITY|9006250000|50|1238919479|3029439617|8227180|265999207|1803651372|1073934402|311825849|2541380|526952595|8261491081|0|454612300|0|31551200|1329019|36847100|4800|0|0|524344419
31-JUL-2026|ARNA|EQUITY|7341430976|490|208222097|1477290176|1165400|0|3602468741|47836800|1898278|0|0|5338881492|0|10034200|96416000|643285478|43900828|1042324276|56411297|0|110177405|2002549484
31-JUL-2026|ARTA|EQUITY|446674175|2500|0|51876900|0|0|368097025|0|0|0|0|419973925|0|20000000|0|4350|499800|0|6196100|0|0|26700250
31-JUL-2026|ARTI|EQUITY|7840000000|2|423655974|2650331886|739500000|0|3821085750|156169300|1179890|20000|23750000|7815692800|0|0|0|100|14591400|0|8340700|0|0|22932200
31-JUL-2026|ARTO|EQUITY|13861330900|1220|56077044|7096171892|15025414|0|1221868343|80118654|2890766|7822865|55415|8480030393|3767000|1367963800|89537183|1999602297|4755500|241021877|58919187|20392833|1356778330|5142738007
31-JUL-2026|ASBI|EQUITY|348386472|426|13410592|315703229|22|0|14649079|0|186|40|0|343763148|0|0|0|180640|566570|0|979488|0|0|1726698
31-JUL-2026|ASDM|EQUITY|384000000|515|0|65408000|0|26400|33574020|4000000|0|0|0|103008420|0|313600|0|1006200|966900|0|4415400|0|0|6702100
31-JUL-2026|ASGR|EQUITY|1348780500|1790|1552500|15394400|0|178000|236420748|6777300|148441|500|0|260471889|115100|2843900|3563800|14199125|521400|5680000|5876200|294400|4036246|37130171
31-JUL-2026|ASHA|EQUITY|5000000000|56|0|2601130800|0|0|2352220000|0|0|0|0|4953350800|0|0|0|43565700|1083500|0|2000000|0|0|46649200
31-JUL-2026|ASIA|EQUITY|2275009490|0|250000|18089634|0|83334|1022520029|0|7509300|203|22620680|1071073180|0|334|0|1720002|7512840|0|24374843|0|1153364243|1186972262
31-JUL-2026|ASII|EQUITY|40483553140|5100|2228344702|745825400|189091392|3310650|1262868394|844926799|4166236|55330100|22831830|5356695503|147168443|345955551|1885979359|1599995125|5644030|6828221967|157605069|253232700|1675097513|12898899757
31-JUL-2026|ASJT|EQUITY|1400000000|159|28130800|19692746|1083520009|0|190569650|15730541|56358388|22|5702950|1399705106|0|0|0|92978|181216|0|20700|0|0|294894
