Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-JUN-2026|AADI|EQUITY|7786891760|7775|130891178|5080762359|10534820|41|1725883267|90681939|7453025|2024003|242775|7048473407|1150700|36680162|44571945|245160504|2137083|326123881|22369219|3479500|56745359|738418353
30-JUN-2026|AALI|EQUITY|1924688333|5950|72086016|24697598|6253018|49700|134008056|14037733|154095|3977112|4750027|260013355|136200|13496702|18152014|33017712|1530552|33175344|23215253|190500|7869461|130783738
30-JUN-2026|ABBA|EQUITY|3935892857|30|0|2368198705|0|0|1064987148|0|423|71|0|3433186347|0|1300000|0|41020085|395600|0|1754300|0|0|44469985
30-JUN-2026|ABDA|EQUITY|620806680|3310|0|72048|0|98|484257|0|7575|422334|20|986332|538542104|21730234|0|28006200|900|0|30503300|0|0|618782738
30-JUN-2026|ABMM|EQUITY|2753165000|2300|1534600|1502160533|86000|0|417918300|420000|1404335|0|0|1923523768|0|803961167|4217332|2398132|320100|9484229|3200809|0|6059463|829641232
30-JUN-2026|ACES|EQUITY|17120389700|326|284171800|10947466600|101563300|6200000|2697717391|398364157|42599447|17607514|1092800|14496783009|0|73593622|236426715|207994664|10484800|1443329305|112991594|0|538685991|2623506691
30-JUN-2026|ACRO|EQUITY|3469345537|60|0|4700|0|0|3353909034|0|103|0|0|3353913837|0|0|0|6363100|108963300|0|105300|0|0|115431700
30-JUN-2026|ACST|EQUITY|17675160000|76|0|16221398335|0|0|1429730191|0|1080|0|80|17651129686|0|120|0|8978044|13301435|0|1750695|0|20|24030314
30-JUN-2026|ADCP|EQUITY|22222222200|50|0|452547000|1200000|0|1610495000|0|1558700|1100|147078400|2212880200|0|0|0|4341900|4786100|0|214000|0|0|9342000
30-JUN-2026|ADES|EQUITY|589896800|32425|0|3566300|0|350|41494677|0|471|0|0|45061798|0|538984813|60300|4095364|115400|138300|436300|0|316097|544146574
30-JUN-2026|ADHI|EQUITY|8407608979|152|20461579|326057273|44278904|3000000|2263296380|1820502|252202936|9508935|985047|2921611556|0|430486|6188100|21508136|26274446|8747369|5034133|0|9030961|77213631
30-JUN-2026|ADMF|EQUITY|1235803109|7950|5082393|783788|106600|930516154|43035953|7511100|150257|71|0|987186316|0|185700|167674|234361814|4145918|1295900|8359740|0|47|248516793
30-JUN-2026|ADMG|EQUITY|3889179559|200|1030000|1399506693|2290400|0|503577187|83|450027|300|0|1906854690|0|0|0|6031928|2632300|0|4337300|0|1925414575|1938416103
